"DATE_OF_INTEREST","NEW_COVID_CASE_COUNT","HOSPITALIZED_CASE_COUNT","DEATH_COUNT","CASE_COUNT_7DAY_AVG","INCOMPLETE","NEW_COVID_CASE_COUNT_CUM","HOSPITALIZED_CASE_COUNT_CUM","DEATH_COUNT_CUM"
"02/29/2020",1,11,0,0,0,1,11,0
"03/01/2020",0,4,0,0,0,1,15,0
"03/02/2020",0,21,0,0,0,1,36,0
"03/03/2020",2,20,0,0,0,3,56,0
"03/04/2020",5,22,0,0,0,8,78,0
"03/05/2020",3,20,0,0,0,11,98,0
"03/06/2020",8,18,0,3,0,19,116,0
"03/07/2020",7,15,0,4,0,26,131,0
"03/08/2020",21,17,0,7,0,47,148,0
"03/09/2020",58,49,0,15,0,105,197,0
"03/10/2020",70,63,0,25,0,175,260,0
"03/11/2020",155,90,1,46,0,330,350,1
"03/12/2020",357,92,0,97,0,687,442,1
"03/13/2020",620,156,0,184,0,1307,598,1
"03/14/2020",643,159,2,275,0,1950,757,3
"03/15/2020",1037,189,5,420,0,2987,946,8
"03/16/2020",2122,317,8,715,0,5109,1263,16
"03/17/2020",2453,357,8,1055,0,7562,1620,24
"03/18/2020",2974,470,21,1458,0,10536,2090,45
"03/19/2020",3707,559,24,1937,0,14243,2649,69
"03/20/2020",4008,662,47,2421,0,18251,3311,116
"03/21/2020",2638,701,44,2706,0,20889,4012,160
"03/22/2020",2580,727,50,2926,0,23469,4739,210
"03/23/2020",3572,1036,82,3133,0,27041,5775,292
"03/24/2020",4508,1159,95,3427,0,31549,6934,387
"03/25/2020",4874,1304,124,3698,0,36423,8238,511
"03/26/2020",5052,1453,190,3890,0,41475,9691,701
"03/27/2020",5125,1394,218,4050,0,46600,11085,919
"03/28/2020",3477,1364,274,4170,0,50077,12449,1193
"03/29/2020",3561,1407,292,4310,0,53638,13856,1485
"03/30/2020",6132,1719,325,4676,0,59770,15575,1810
"03/31/2020",5469,1695,385,4813,0,65239,17270,2195
"04/01/2020",5458,1595,447,4896,0,70697,18865,2642
"04/02/2020",5760,1618,499,4997,0,76457,20483,3141
"04/03/2020",5675,1602,499,5076,0,82132,22085,3640
"04/04/2020",3867,1344,512,5132,0,85999,23429,4152
"04/05/2020",3792,1328,580,5165,0,89791,24757,4732
"04/06/2020",6372,1721,575,5199,0,96163,26478,5307
"04/07/2020",6061,1604,599,5284,0,102224,28082,5906
"04/08/2020",5585,1540,569,5302,0,107809,29622,6475
"04/09/2020",5072,1426,561,5203,0,112881,31048,7036
"04/10/2020",4517,1337,540,5038,0,117398,32385,7576
"04/11/2020",3732,1099,543,5019,0,121130,33484,8119
"04/12/2020",2890,995,572,4890,0,124020,34479,8691
"04/13/2020",3313,1213,571,4453,0,127333,35692,9262
"04/14/2020",4147,1088,510,4179,0,131480,36780,9772
"04/15/2020",3878,981,455,3936,0,135358,37761,10227
"04/16/2020",3529,881,414,3715,0,138887,38642,10641
"04/17/2020",3584,901,385,3582,0,142471,39543,11026
"04/18/2020",2173,665,390,3359,0,144644,40208,11416
"04/19/2020",2346,592,400,3281,0,146990,40800,11816
"04/20/2020",3793,725,364,3350,0,150783,41525,12180
"04/21/2020",3065,660,324,3195,0,153848,42185,12504
"04/22/2020",3461,598,313,3136,0,157309,42783,12817
"04/23/2020",2843,532,332,3038,0,160152,43315,13149
"04/24/2020",2539,550,316,2889,0,162691,43865,13465
"04/25/2020",1595,403,266,2806,0,164286,44268,13731
"04/26/2020",1003,374,246,2614,0,165289,44642,13977
"04/27/2020",2297,444,271,2400,0,167586,45086,14248
"04/28/2020",2730,445,228,2353,0,170316,45531,14476
"04/29/2020",2342,407,240,2193,0,172658,45938,14716
"04/30/2020",2024,345,225,2076,0,174682,46283,14941
"05/01/2020",1889,352,210,1983,0,176571,46635,15151
"05/02/2020",1060,261,192,1906,0,177631,46896,15343
"05/03/2020",785,256,178,1875,0,178416,47152,15521
"05/04/2020",1551,311,159,1769,0,179967,47463,15680
"05/05/2020",1513,283,151,1595,0,181480,47746,15831
"05/06/2020",1402,262,150,1461,0,182882,48008,15981
"05/07/2020",1235,259,142,1348,0,184117,48267,16123
"05/08/2020",1081,257,131,1232,0,185198,48524,16254
"05/09/2020",657,185,100,1175,0,185855,48709,16354
"05/10/2020",458,157,103,1128,0,186313,48866,16457
"05/11/2020",1233,246,103,1083,0,187546,49112,16560
"05/12/2020",1285,211,91,1050,0,188831,49323,16651
"05/13/2020",1335,230,83,1041,0,190166,49553,16734
"05/14/2020",1112,220,70,1023,0,191278,49773,16804
"05/15/2020",875,234,86,994,0,192153,50007,16890
"05/16/2020",488,164,83,969,0,192641,50171,16973
"05/17/2020",359,125,77,955,0,193000,50296,17050
"05/18/2020",900,178,58,908,0,193900,50474,17108
"05/19/2020",1003,205,54,867,0,194903,50679,17162
"05/20/2020",1081,170,81,831,0,195984,50849,17243
"05/21/2020",1071,174,45,825,0,197055,51023,17288
"05/22/2020",1057,197,65,851,0,198112,51220,17353
"05/23/2020",462,134,60,848,0,198574,51354,17413
"05/24/2020",476,119,49,864,0,199050,51473,17462
"05/25/2020",469,140,49,803,0,199519,51613,17511
"05/26/2020",1055,151,38,810,0,200574,51764,17549
"05/27/2020",745,161,49,762,0,201319,51925,17598
"05/28/2020",646,139,38,701,0,201965,52064,17636
"05/29/2020",647,170,43,643,0,202612,52234,17679
"05/30/2020",348,98,54,627,0,202960,52332,17733
"05/31/2020",231,90,39,592,0,203191,52422,17772
"06/01/2020",687,124,34,623,0,203878,52546,17806
"06/02/2020",574,123,38,554,0,204452,52669,17844
"06/03/2020",517,115,43,521,0,204969,52784,17887
"06/04/2020",526,90,33,504,0,205495,52874,17920
"06/05/2020",403,65,28,469,0,205898,52939,17948
"06/06/2020",247,46,35,455,0,206145,52985,17983
"06/07/2020",199,47,25,450,0,206344,53032,18008
"06/08/2020",451,62,40,417,0,206795,53094,18048
"06/09/2020",420,51,33,395,0,207215,53145,18081
"06/10/2020",365,45,32,373,0,207580,53190,18113
"06/11/2020",368,41,21,350,0,207948,53231,18134
"06/12/2020",410,55,23,351,0,208358,53286,18157
"06/13/2020",196,28,15,344,0,208554,53314,18172
"06/14/2020",183,43,24,342,0,208737,53357,18196
"06/15/2020",379,49,20,332,0,209116,53406,18216
"06/16/2020",422,50,18,332,0,209538,53456,18234
"06/17/2020",355,41,20,330,0,209893,53497,18254
"06/18/2020",379,39,17,332,0,210272,53536,18271
"06/19/2020",362,39,17,325,0,210634,53575,18288
"06/20/2020",205,26,19,326,0,210839,53601,18307
"06/21/2020",176,34,28,325,0,211015,53635,18335
"06/22/2020",397,44,25,328,0,211412,53679,18360
"06/23/2020",383,42,27,322,0,211795,53721,18387
"06/24/2020",382,37,25,326,0,212177,53758,18412
"06/25/2020",296,37,19,314,0,212473,53795,18431
"06/26/2020",311,34,20,307,0,212784,53829,18451
"06/27/2020",208,37,21,308,0,212992,53866,18472
"06/28/2020",202,32,19,311,0,213194,53898,18491
"06/29/2020",437,39,24,317,0,213631,53937,18515
"06/30/2020",446,37,23,326,0,214077,53974,18538
"07/01/2020",398,29,12,328,0,214475,54003,18550
"07/02/2020",417,30,24,346,0,214892,54033,18574
"07/03/2020",230,21,22,334,0,215122,54054,18596
"07/04/2020",120,22,14,321,0,215242,54076,18610
"07/05/2020",153,24,17,314,0,215395,54100,18627
"07/06/2020",435,43,16,314,0,215830,54143,18643
"07/07/2020",464,41,13,317,0,216294,54184,18656
"07/08/2020",435,32,20,322,0,216729,54216,18676
"07/09/2020",394,42,10,319,0,217123,54258,18686
"07/10/2020",309,35,10,330,0,217432,54293,18696
"07/11/2020",255,30,13,349,0,217687,54323,18709
"07/12/2020",223,18,11,359,0,217910,54341,18720
"07/13/2020",482,46,17,366,0,218392,54387,18737
"07/14/2020",399,33,10,357,0,218791,54420,18747
"07/15/2020",439,27,14,357,0,219230,54447,18761
"07/16/2020",419,30,9,361,0,219649,54477,18770
"07/17/2020",415,47,13,376,0,220064,54524,18783
"07/18/2020",217,29,11,371,0,220281,54553,18794
"07/19/2020",175,32,7,364,0,220456,54585,18801
"07/20/2020",396,32,11,351,0,220852,54617,18812
"07/21/2020",337,22,11,343,0,221189,54639,18823
"07/22/2020",326,31,8,326,0,221515,54670,18831
"07/23/2020",306,34,9,310,0,221821,54704,18840
"07/24/2020",303,34,6,294,0,222124,54738,18846
"07/25/2020",152,30,11,285,0,222276,54768,18857
"07/26/2020",139,18,8,280,0,222415,54786,18865
"07/27/2020",319,43,5,269,0,222734,54829,18870
"07/28/2020",311,35,12,265,0,223045,54864,18882
"07/29/2020",287,22,5,260,0,223332,54886,18887
"07/30/2020",267,31,4,254,0,223599,54917,18891
"07/31/2020",263,27,5,248,0,223862,54944,18896
"08/01/2020",185,22,8,253,0,224047,54966,18904
"08/02/2020",134,28,2,252,0,224181,54994,18906
"08/03/2020",352,29,3,257,0,224533,55023,18909
"08/04/2020",188,31,6,239,0,224721,55054,18915
"08/05/2020",311,27,8,243,0,225032,55081,18923
"08/06/2020",287,31,6,246,0,225319,55112,18929
"08/07/2020",268,18,5,246,0,225587,55130,18934
"08/08/2020",154,17,6,242,0,225741,55147,18940
"08/09/2020",133,25,3,242,0,225874,55172,18943
"08/10/2020",298,27,6,234,0,226172,55199,18949
"08/11/2020",258,18,6,244,0,226430,55217,18955
"08/12/2020",317,26,2,245,0,226747,55243,18957
"08/13/2020",261,33,3,241,0,227008,55276,18960
"08/14/2020",274,30,4,242,0,227282,55306,18964
"08/15/2020",150,21,7,242,0,227432,55327,18971
"08/16/2020",138,19,5,242,0,227570,55346,18976
"08/17/2020",330,26,6,247,0,227900,55372,18982
"08/18/2020",280,35,2,250,0,228180,55407,18984
"08/19/2020",281,27,2,245,0,228461,55434,18986
"08/20/2020",222,29,7,239,0,228683,55463,18993
"08/21/2020",241,29,3,235,0,228924,55492,18996
"08/22/2020",142,20,6,233,0,229066,55512,19002
"08/23/2020",151,18,4,235,0,229217,55530,19006
"08/24/2020",292,26,8,230,0,229509,55556,19014
"08/25/2020",278,36,5,230,0,229787,55592,19019
"08/26/2020",306,22,6,233,0,230093,55614,19025
"08/27/2020",253,27,1,238,0,230346,55641,19026
"08/28/2020",279,19,6,243,0,230625,55660,19032
"08/29/2020",117,22,3,239,0,230742,55682,19035
"08/30/2020",171,19,8,242,0,230913,55701,19043
"08/31/2020",299,30,3,243,0,231212,55731,19046
"09/01/2020",286,21,5,244,0,231498,55752,19051
"09/02/2020",272,21,6,240,0,231770,55773,19057
"09/03/2020",266,19,6,241,0,232036,55792,19063
"09/04/2020",210,25,4,232,0,232246,55817,19067
"09/05/2020",157,16,2,237,0,232403,55833,19069
"09/06/2020",182,20,7,239,0,232585,55853,19076
"09/07/2020",182,19,3,222,0,232767,55872,19079
"09/08/2020",341,22,2,230,0,233108,55894,19081
"09/09/2020",306,12,1,235,6000,233414,55906,19082
"09/10/2020",258,10,1,234,6000,233672,55916,19083
"09/11/2020",234,11,3,237,6000,233906,55927,19086
"09/12/2020",136,2,3,234,6000,234042,55929,19089
"09/13/2020",99,6,0,222,6000,234141,55935,19089
"09/14/2020",66,1,0,206,6000,234207,55936,19089
"09/15/2020",17,1,0,159,6000,234224,55937,19089
